image_name,vendor,root,slice,is_IRF,is_SRF,is_PED
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,41,0,0,0
TRAIN009,Cirrus,..\RETOUCHdata\Cirrus\TRAIN009,73,1,0,1
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,122,0,0,0
TRAIN005,Cirrus,..\RETOUCHdata\Cirrus\TRAIN005,86,0,1,1
TRAIN065,Topcon,..\RETOUCHdata\Topcon\TRAIN065,69,0,0,0
TRAIN023,Cirrus,..\RETOUCHdata\Cirrus\TRAIN023,122,0,0,0
TRAIN061,Topcon,..\RETOUCHdata\Topcon\TRAIN061,40,1,1,1
TRAIN061,Topcon,..\RETOUCHdata\Topcon\TRAIN061,63,1,0,1
TRAIN010,Cirrus,..\RETOUCHdata\Cirrus\TRAIN010,79,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,37,0,0,0
TRAIN010,Cirrus,..\RETOUCHdata\Cirrus\TRAIN010,32,0,0,0
TRAIN008,Cirrus,..\RETOUCHdata\Cirrus\TRAIN008,8,1,0,0
TRAIN056,Topcon,..\RETOUCHdata\Topcon\TRAIN056,5,1,0,0
TRAIN008,Cirrus,..\RETOUCHdata\Cirrus\TRAIN008,22,1,0,0
TRAIN019,Cirrus,..\RETOUCHdata\Cirrus\TRAIN019,83,1,0,0
TRAIN020,Cirrus,..\RETOUCHdata\Cirrus\TRAIN020,54,1,1,1
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,29,0,1,1
TRAIN017,Cirrus,..\RETOUCHdata\Cirrus\TRAIN017,78,1,0,1
TRAIN021,Cirrus,..\RETOUCHdata\Cirrus\TRAIN021,84,1,0,0
TRAIN038,Spectralis,..\RETOUCHdata\Spectralis\TRAIN038,29,0,1,1
TRAIN053,Topcon,..\RETOUCHdata\Topcon\TRAIN053,95,1,1,1
TRAIN008,Cirrus,..\RETOUCHdata\Cirrus\TRAIN008,26,1,0,0
TRAIN045,Spectralis,..\RETOUCHdata\Spectralis\TRAIN045,5,0,0,0
TRAIN038,Spectralis,..\RETOUCHdata\Spectralis\TRAIN038,22,0,1,1
TRAIN019,Cirrus,..\RETOUCHdata\Cirrus\TRAIN019,122,0,0,0
TRAIN020,Cirrus,..\RETOUCHdata\Cirrus\TRAIN020,86,1,1,0
TRAIN008,Cirrus,..\RETOUCHdata\Cirrus\TRAIN008,89,1,0,0
TRAIN009,Cirrus,..\RETOUCHdata\Cirrus\TRAIN009,105,0,0,0
TRAIN056,Topcon,..\RETOUCHdata\Topcon\TRAIN056,1,1,0,0
TRAIN070,Topcon,..\RETOUCHdata\Topcon\TRAIN070,23,0,0,0
TRAIN061,Topcon,..\RETOUCHdata\Topcon\TRAIN061,47,1,1,1
TRAIN011,Cirrus,..\RETOUCHdata\Cirrus\TRAIN011,68,1,0,1
TRAIN050,Topcon,..\RETOUCHdata\Topcon\TRAIN050,111,0,0,0
TRAIN070,Topcon,..\RETOUCHdata\Topcon\TRAIN070,14,0,0,0
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,91,0,0,0
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,29,0,0,0
TRAIN010,Cirrus,..\RETOUCHdata\Cirrus\TRAIN010,99,0,0,0
TRAIN070,Topcon,..\RETOUCHdata\Topcon\TRAIN070,124,0,0,0
TRAIN020,Cirrus,..\RETOUCHdata\Cirrus\TRAIN020,48,0,1,1
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,117,0,0,0
TRAIN045,Spectralis,..\RETOUCHdata\Spectralis\TRAIN045,35,1,0,1
TRAIN023,Cirrus,..\RETOUCHdata\Cirrus\TRAIN023,70,0,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,42,0,0,0
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,116,0,0,0
TRAIN001,Cirrus,..\RETOUCHdata\Cirrus\TRAIN001,23,1,0,0
TRAIN017,Cirrus,..\RETOUCHdata\Cirrus\TRAIN017,80,0,0,1
TRAIN038,Spectralis,..\RETOUCHdata\Spectralis\TRAIN038,17,0,1,1
TRAIN051,Topcon,..\RETOUCHdata\Topcon\TRAIN051,126,0,0,0
TRAIN051,Topcon,..\RETOUCHdata\Topcon\TRAIN051,43,0,0,0
TRAIN021,Cirrus,..\RETOUCHdata\Cirrus\TRAIN021,18,0,0,0
TRAIN005,Cirrus,..\RETOUCHdata\Cirrus\TRAIN005,72,0,1,1
TRAIN049,Topcon,..\RETOUCHdata\Topcon\TRAIN049,20,0,0,0
TRAIN010,Cirrus,..\RETOUCHdata\Cirrus\TRAIN010,37,0,0,0
TRAIN057,Topcon,..\RETOUCHdata\Topcon\TRAIN057,56,0,0,1
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,15,0,0,0
TRAIN057,Topcon,..\RETOUCHdata\Topcon\TRAIN057,84,0,1,1
TRAIN020,Cirrus,..\RETOUCHdata\Cirrus\TRAIN020,102,0,1,1
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,58,1,1,1
TRAIN010,Cirrus,..\RETOUCHdata\Cirrus\TRAIN010,84,0,0,0
TRAIN004,Cirrus,..\RETOUCHdata\Cirrus\TRAIN004,113,0,1,0
TRAIN030,Spectralis,..\RETOUCHdata\Spectralis\TRAIN030,43,0,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,62,1,0,0
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,93,0,0,0
TRAIN057,Topcon,..\RETOUCHdata\Topcon\TRAIN057,37,0,1,1
TRAIN004,Cirrus,..\RETOUCHdata\Cirrus\TRAIN004,45,1,1,1
TRAIN009,Cirrus,..\RETOUCHdata\Cirrus\TRAIN009,103,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,91,0,0,0
TRAIN056,Topcon,..\RETOUCHdata\Topcon\TRAIN056,3,1,0,0
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,23,0,0,0
TRAIN051,Topcon,..\RETOUCHdata\Topcon\TRAIN051,119,0,0,0
TRAIN020,Cirrus,..\RETOUCHdata\Cirrus\TRAIN020,45,0,1,0
TRAIN005,Cirrus,..\RETOUCHdata\Cirrus\TRAIN005,26,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,94,0,0,0
TRAIN041,Spectralis,..\RETOUCHdata\Spectralis\TRAIN041,18,1,0,0
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,102,0,0,0
TRAIN053,Topcon,..\RETOUCHdata\Topcon\TRAIN053,103,1,1,1
TRAIN020,Cirrus,..\RETOUCHdata\Cirrus\TRAIN020,50,0,1,1
TRAIN060,Topcon,..\RETOUCHdata\Topcon\TRAIN060,49,1,0,0
TRAIN015,Cirrus,..\RETOUCHdata\Cirrus\TRAIN015,126,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,78,1,0,0
TRAIN005,Cirrus,..\RETOUCHdata\Cirrus\TRAIN005,114,0,0,0
TRAIN056,Topcon,..\RETOUCHdata\Topcon\TRAIN056,15,1,0,0
TRAIN028,Spectralis,..\RETOUCHdata\Spectralis\TRAIN028,13,0,0,0
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,80,0,0,1
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,86,0,0,1
TRAIN065,Topcon,..\RETOUCHdata\Topcon\TRAIN065,33,1,0,0
TRAIN032,Spectralis,..\RETOUCHdata\Spectralis\TRAIN032,47,1,0,0
TRAIN009,Cirrus,..\RETOUCHdata\Cirrus\TRAIN009,100,0,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,59,1,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,31,0,0,0
